Géographie;Système de classification des industries de l'Amérique du Nord (SCIAN);Ajustements;Période de référence;Ventes totles du commerce de détil
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;févr-22;1 200 402
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;mars-22;1 162 150
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;avr-22;1 190 374B
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;mai-22;1 211 123B
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;juin-22;1 105 571
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;juil-22;1 125 374
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;août-22;1 177 846
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;sept-22;1 223 528
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;oct-22;1 113 669
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;nov-22;1 162 118B
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;déc-22;1 153 059
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;janv-23;1 276 316B
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;févr-23;1 206 906
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;mars-23;1 070 622
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;avr-23;1 030 704
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;mai-23;1 151 201
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;juin-23;1 192 272
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;juil-23;1 131 732
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;août-23;1 146 855
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;sept-23;1 139 664
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;oct-23;1 155 600
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;nov-23;1 155 165
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;déc-23;1 245 293
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;janv-24;1 013 788B
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;févr-24;1 102 556
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;mars-24;1 148 851
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;avr-24;1 117 393
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;mai-24;1 061 812
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;juin-24;1 098 601
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;juil-24;1 160 772
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;août-24;1 147 053
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;sept-24;1 107 692
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;oct-24;1 137 749
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;nov-24;1 130 731
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;déc-24;1 096 702B
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;janv-25;1 096 031C
Canada;Autres concessionnaires de véhicules automobiles  [4412];Désaisonnalisées;févr-25;1 093 611B
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;févr-22;1 139 375
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;mars-22;1 134 384
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;avr-22;1 102 075
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;mai-22;1 176 162
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;juin-22;1 204 529
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;juil-22;1 181 381
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;août-22;1 203 086
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;sept-22;1 201 782
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;oct-22;1 215 468
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;nov-22;1 207 484
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;déc-22;1 220 696
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;janv-23;1 214 072
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;févr-23;1 282 115
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;mars-23;1 253 269
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;avr-23;1 284 549
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;mai-23;1 313 935
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;juin-23;1 269 701
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;juil-23;1 275 648
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;août-23;1 274 782
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;sept-23;1 242 254
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;oct-23;1 253 530
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;nov-23;1 284 746
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;déc-23;1 234 188
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;janv-24;1 272 690
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;févr-24;1 267 151
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;mars-24;1 282 734
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;avr-24;1 280 339
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;mai-24;1 243 457
Canada;Détaillants de pièces, de pneus et d'accessoires pour véhicules automobiles  [4413];Désaisonnalisées;juin-24;1 254 891
